fdc_id,brand_owner,ingredients,serving_size,serving_size_unit,branded_food_category,data_type,description,publication_date,cat_null,sat_fat_g,trans_fat_g,magnesium_mg,potassium_mg,mufa_grams,protein_grams,fiber_grams,vitamin_a_IU,vitamin_c_MG,calcium_MG,iron_MG,sugar_G,sodium_MG,NRFNn.3,cluster
344604,Red Gold,Tutturosso Green 14.5oz. NSA Italian Diced Tomatoes,123.0,g,,branded_food,Tutturosso Green 14.5oz. NSA Italian Diced Tomatoes,2019-04-01,True,0.0,0.0,,0.051142857142857136,0.0,0.016200000000000003,0.032,,,0.013000000000000001,0.0,0.01952,0.08458333333333333,,568
344605,Red Gold,Tutturosso Green 14.5oz. Italian Diced Tomatoes,123.0,g,,branded_food,Tutturosso Green 14.5oz. Italian Diced Tomatoes,2019-04-01,True,0.0,0.0,,0.051142857142857136,0.0,0.016200000000000003,0.032,,,0.016,0.0,0.01952,0.08458333333333333,,568
344606,Cargill,Honeysuckle White Fresh 97% Ground White Turkey,112.0,g,,branded_food,Honeysuckle White Fresh 97% Ground White Turkey,2019-04-01,True,0.0445,0.0,,,,0.4642,0.0,,0.0,0.0,0.07166666666666667,0.0,0.027916666666666663,,942
344607,Cargill,Honeysuckle White 97% Ground White Turkey,112.0,g,,branded_food,Honeysuckle White 97% Ground White Turkey,2019-04-01,True,0.0445,,,,,0.4642,0.0,0.0,0.0,0.0,0.07166666666666667,,0.027916666666666663,,942
344608,Cargill,Honeysuckle Whtie 85% Ground Turkey,112.0,g,,branded_food,Honeysuckle Whtie 85% Ground Turkey,2019-04-01,True,0.223,,,,,0.375,0.0,0.0178,0.0,0.018000000000000002,0.05333333333333333,,0.042916666666666665,,942
344737,Kellogg Company US,Carr's Crackers Pepper 4.25oz,14.0,g,,branded_food,Carr's Crackers Pepper 4.25oz,2019-04-01,True,0.0,0.0,,,,0.14279999999999998,0.284,0.0,0.0,0.0,0.0,0.0,0.2379166666666667,,439
344913,Kellogg Company US,Carr's Crackers Rosemary 5oz,16.0,g,,branded_food,Carr's Crackers Rosemary 5oz,2019-04-01,True,0.09,0.1,,0.05942857142857143,0.6599999999999999,0.168,0.128,,,0.086,0.2444444444444445,0.0296,0.41,,439
344914,Kellogg Company US,Carr's Crackers Sesame 4.25oz,14.0,g,,branded_food,Carr's Crackers Sesame 4.25oz,2019-04-01,True,0.0,0.0,,,,0.14279999999999998,0.284,0.0,0.0,0.0,0.0,0.0,0.22333333333333333,,439
345349,Red Gold,Red Gold 28oz. Whole Peeled Tomatoes,121.0,g,,branded_food,Red Gold 28oz. Whole Peeled Tomatoes,2019-04-01,True,0.0,0.0,,0.054285714285714284,0.0,0.0166,0.032,,,0.0,0.0,0.01984,0.04125,,941
345350,Red Gold,Red Gold 28oz. Diced Tomatoes,121.0,g,,branded_food,Red Gold 28oz. Diced Tomatoes,2019-04-01,True,0.0,0.0,,0.054285714285714284,0.0,0.0166,0.032,,,0.0,0.0,0.01984,0.062083333333333324,,941
345351,Red Gold,Red Gold 28oz. Italian Diced Tomatoes,123.0,g,,branded_food,Red Gold 28oz. Italian Diced Tomatoes,2019-04-01,True,0.0,0.0,,0.05342857142857143,,0.016200000000000003,0.032,0.0814,0.12166666666666665,0.016,0.01611111111111111,0.032560000000000006,0.08458333333333333,,941
345352,Cargill,Honeysuckle White Fresh Young Turkey Parts Bone-In-Breast with Ribs,112.0,g,,branded_food,Honeysuckle White Fresh Young Turkey Parts Bone-In-Breast with Ribs,2019-04-01,True,0.125,0.0,,,,0.46,0.0,,0.0,0.0,,0.0,0.052083333333333336,,169
345353,Cargill,Honeysuckle White Turkey Breast Roast,112.0,g,,branded_food,Honeysuckle White Turkey Breast Roast,2019-04-01,True,0.0,0.0,,,,0.56,0.0,,0.0,,,0.0,0.02291666666666666,,169
345354,Cargill,Honeysuckle White Turkey Breast Cutlets,112.0,g,,branded_food,Honeysuckle White Turkey Breast Cutlets,2019-04-01,True,0.0,0.0,,,,0.56,0.0,,0.0,,,0.0,0.02291666666666666,,169
345355,Cargill,Honeysuckle White Boneless Turkey Roast with Gravy Packet,112.0,g,,branded_food,Honeysuckle White Boneless Turkey Roast with Gravy Packet,2019-04-01,True,0.025,0.0,,,,0.46,0.0,,0.0,,,0.008,0.17916666666666667,,942
345534,Red Gold,Red Gold 28oz. Petite Diced Tomatoes,121.0,g,,branded_food,Red Gold 28oz. Petite Diced Tomatoes,2019-04-01,True,0.0,0.0,,0.054285714285714284,0.0,0.0166,0.032,,,0.0,0.0,0.01984,0.062083333333333324,,941
345535,Red Gold,Red Gold 28oz. Crushed Tomatoes in Puree,61.0,g,,branded_food,Red Gold 28oz. Crushed Tomatoes in Puree,2019-04-01,True,0.0,0.0,,0.09371428571428572,0.0,0.0328,0.064,,,0.0,0.0,0.03936,0.061666666666666675,,941
345536,Red Gold,Red Gold 29oz. Tomato Puree 1.045,63.0,g,,branded_food,Red Gold 29oz. Tomato Puree 1.045,2019-04-01,True,0.0,0.0,,0.08171428571428571,,0.0318,0.064,0.0634,0.06333333333333332,0.0,0.095,0.03808,0.01,,857
